index,premise,hypothesis,true_label,predicted_label
3401,"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are putting out a fire nearby,2,1
3429,Children playing a video game together.,The kids are indoors playing a video game.,0,1
3442,Two construction workers talk while looking at a Naval ship.,The workers are close to the water.,1,0
3448,A group of boys playing street soccer.,A team is playing street soccer.,1,0
3466,A man wearing a welding mask working on a duct.,The man's head is partially obscured.,1,0
3467,A man wearing a welding mask working on a duct.,The man is working underneath a vehicle.,2,0
3476,A man and wife stand at the alter as they get married.,A man and woman are getting eloped,1,0
3493,A woman with a pink purse walks down a crowded sidewalk.,The crowd walks around a woman,1,0
3494,A man talking into a microphone with a woman standing next to him.,The woman is sitting in the chair next to the podium.,1,2
3496,A man talking into a microphone with a woman standing next to him.,Two people are standing beside each other.,1,0
3520,A worker is on a cherry picker in a palm tree.,A worker falls out of a tree.,1,2
3521,"A man dressed in a blue shirt, tan shorts, and a red baseball cap is examining a red antique car with an U.S. flag attached in the rear.",Henry Ford admiring his assembly lines.,2,1
3525,A dog chasing a duck in a pond.,A dog is swimming through a pond in pursuit of a duck.,0,1
3543,A little girl has her arms around a little boy standing on a wooden bridge in the woods.,The little boy is hitting the girl.,1,2
3558,Several people are laying on the floor sleeping covered by blankets.,A group of people fight in their dreams,1,2
3565,A boy in a red jacket and balck hat sliding on his knees down a snowy hill,A man is playing in the snow.,2,1
3603,Two dogs in a grassy field.,Two dogs are playing outside.,1,0
3650,a man puts his hands up while telling an amusing story to his friend with a beard.,The man is perplexed by the events.,1,2
3663,A speaker is talking with a TV in the background.,There is a live bear in the background.,1,2
3672,"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",The man and woman are cooperating.,1,0
3701,"Three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.",Many people load up a taxi,1,0
3709,A man dressed as an angel balances a woman dressed as an angel on his thighs while she hands out papers to people passing on the sidewalk.,A couple dressed in angel costumes are handing out leaflets on the sidewalk.,0,1
3727,"A woman in an American military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper.", A woman in an American green military uniform is smiling.,2,1
3733,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a woman walk by.,0,1
3753,a lone snowboarder jumping in midair with a snow covered mine in the background,A person is snowboarding behind a football field,2,1
3757,A man getting a group of children to move around and have fun.,A man encouraging children to have fun with one another as they look on.,1,0
3760,A tractor decorated as a float for a parade,A tractor drives down the parade route,1,2
3766,A dog leaps into the air for a tennis ball.,A dog is outside.,1,0
3774,An entertainers reaches out to his audience during a performance.,A man in front of an audience.,1,0
3775,A girl playfully kicks a guy in the face while another person makes faces.,A girl is play fighting.,0,1
3776,A girl playfully kicks a guy in the face while another person makes faces.,The boy is at a boxing match.,2,1
3813,A man in a short Mohawk and beard.,A man with a short Mohawk and beard stands outside.,0,1
3817,A woman is posing in a meadow next to an old truck.,A woman is getting her picture taken near a truck.,0,1
3829,"A young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.",A girl jumps in her newly cut lawn,0,1
3847,A boy dressed in a plaid kilt with a brown hat wields a long pole.,The boy is younger than age ten.,1,0
3849,A woman in white climbs up a metal structure.,A woman is being athletic.,0,1
3876,A young male is running while playing tennis against another person.,A man moves while playing a game,1,0
3882,"Two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.",Four people are talking to each other outside.,2,0
3884,"Two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.",The two men and women are talking to people that they know.,2,1
3890,A lit girl splashes around in natural water.,The girl is outside.,1,0
3918,Two men are shirtless on the beach on a beautiful day.,Two men are shirtless.,1,0
3933,"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,0,1
3953,people sitting on stools looking outside.,People look out side the bar they are in.,1,0
3991,A brown dog persues a Frisbee across the grass as the thrower watches.,A dog plays in the park.,0,1
3995,A man with a white beard speaks into a microphone wearing a long-sleeved gray button down shirt.,A man is speaking to a crowd.,0,1
3997,A man with a white beard speaks into a microphone wearing a long-sleeved gray button down shirt.,A man is giving a toast at a wedding.,1,2
4000,A man in a gray coat is walking on a fallen tree trunk in a forest.,A young man wearing a gray winter jacket walks on a fallen oak tree.,0,1
4014,A cheerful boy rides a makeshift sled down a snowy hill.,Don't stock up and have fun with the sled,2,1
4015,Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss.,2,0
4029,A man looking at a woman looking at water.,A man drinks beer.,1,2
4034,Coed choir singing at an event.,An all boys choir is singing.,2,1
4046,a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle as night begins to fall.,0,2
4069,A young woman with red-hair is adjusting a blue bracelet on an older woman with short hair.,A redhead is putting a bracelet on an old woman.,1,0
4084,A man standing on a green boat.,He is outside.,1,0
4086,Artists install a new exhibit in a gallery.,People put up new art.,1,0
4087,Artists install a new exhibit in a gallery.,People put up new art at the towns local gallery.,0,1
4093,The rhythmic gymnast completes her floor exercise at the competition.,The gymnast completes her intense exercise.,1,0
4101,"A person of indeterminate sex wearing a dark hat, neutral pants, and a red shirt walking up a rocky slope at high altitude in the daytime.",A person is getting ready to snowboard down a hill with one leg,2,1
4123,Two women wearing aprons and hairnets look at each other while they reach into metal canisters.,Two women are working.,1,0
4125,Two women wearing aprons and hairnets look at each other while they reach into metal canisters.,Two women are running a kitchen.,1,2
4136,There are two people walking in the sand.,Two people walk across the beach.,0,1
4138,A woman is shaving the hair off of a black and white dog.,The tan dog is being groomed on the table.,1,2
4141,oh yea these suckers cant catch me.,Dog running down the street.,1,2
4153,A white greyhound dog wearing a muzzle runs around a track.,The dog is racing other dogs.,0,1
4165,A runner wearing purple strives for the finish line.,A runner in a competition want to go to the finish line.,0,1
4189,"a man standing against a building, in the sunlight, as you can see the shadow of the person taking his picture",A woman is taking a photo of a man standing outside in the sunlight.,1,2
4208,A person is posed with one leg raised and one arm out at a competition with their teammates in the background.,A man posed with his teammates in the background.,0,1
4246,A man stands with his arms out inside a large green piece of equipment.,He is making office calls.,2,1
4253,"A guy in boots, jeans and a blue shirt is falling off a bull by a cowboy standing on a red fence with the numbers 2 and 4 on it.",A man standed near the fence to show the numbers.,1,2
4260,People walk and bicycle down an alley between white buildings with blue trim.,People walk by a train.,2,1
4273,An older balding man with glasses wearing a pink and white shirt with a sweater vest is playing a musical instrument while looking at the sheet music.,The man has little hair.,0,2
4278,A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,"The bowler who just rolled in the bright, noisy alley is hoping for a strike.",0,1
4303,A black and white bird with a yellow beak is flying.,Bird flying outside against the sky,1,0
4306,We can see the white underwear of the man wearing the red soccer jersey because he is pulling up his shorts.,People are looking at underwear.,1,0
4310,A cement worker is working on a new sidewalk outside of a clothing store.,A worker is working on a new sidewalk outside of a restuarant.,2,0
4312,A cement worker is working on a new sidewalk outside of a clothing store.,A worker is working in a restuarant.,2,0
4325,Artist on street corner selling his artwork.,Someone is selling paintings.,0,1
4327,Artist on street corner selling his artwork.,Someone is begging for money.,2,1
4329,This is a very large vegetable stand under a white tent.,Vegetables are being sold under a white tent.,0,1
4361,A man and a woman are dancing in the crowd.,a couple dances among other people,1,0
4371,A man riding his bike wearing his helmet in front of an audience.,A man is driving a blue vehicle,2,1
4381,A golfer shoots his ball out of a sand trap.,A duffer hits to the green using a sand wedge.,2,1
4391,"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,1,2
4396,"A woman holds a newspaper that says ""Real change"".","a woman on a street holding a newspaper that says ""real change""",0,1
4398,"A woman holds a newspaper that says ""Real change"".","a woman with a newspaper that says ""real change"" on the ground next to her",2,1
4400,Four men with baseball caps and logo t-shirts laughing together at a table.,The men are selling clothes in a sports store.,2,1
4402,A single person stands on a heavily-eroded cliff-side rock while holding a bare branch aloft.,A single person stands on a heavily-eroded large cliff-side rock,0,1
4406,A man in a plaid shirt is walking on a street where there are advertisements in Chinese.,He is walking on his hands.,2,1
4431,"A man is laying down inside a black, non-working boat.",The man is outside on a boat.,0,2
4439,A bunch of people are standing all together in a street with a building in the background.,A group of people are kicking each other.,1,2
4444,Women are sitting around a table at a restaurant chatting.,Women are visiting.,1,0
4451,"Two men cooking, one stirring a pot while making a funny face while the other points at him.",Friends are preparing a meal.,0,1
4455,A man and a woman are lying together on a grassy park field near a waterfront.,Two people are playing with a frisbee at a park.,2,1
4464,A man is painting letters using a stencil onto a round stand-up sign that is lying sideways.,A guy works on a sign by putting letters on its round surface while it's on the ground.,1,0
4468,A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,She is listening to music.,1,2
4474,a man with beard sitting down playing an acoustic guitar.,The band sets up their instruments.,2,1
4481,Person with umbrella observes flooded streets with cars in the water.,A person is standing outside in the rain looking at flood damage.,0,1
4496,"Two men on stilts and a woman twirling a ribbon, lead a festive parade along the streets, while a woman looks on from her window.",Two men are on stilts while a woman dances between them in the parade.,1,0
4497,"Two men on stilts and a woman twirling a ribbon, lead a festive parade along the streets, while a woman looks on from her window.",Three people are on a parade float.,1,0
4498,A cowboy is showing off his mule next to a horse hauling trailer.,A man is showing off his prize winning mule.,0,1
4499,"Four men in safety gear, one holding a camera, are standing on a platform.",There has been an accident,1,0
4500,"Four men in safety gear, one holding a camera, are standing on a platform.",The men are working,0,1
4520,A large crowd is standing around the start line.,A lot of people are in a race,0,1
4529,Four young female gymnasts dressed in black and blue leotards are preparing for their next routine.,Gymnast group preparing for a competition.,0,1
4534,An Asian woman dressed in a colorful outfit laughing.,The woman is not laughing.,0,2
4552,A person in a black and green outfit is riding a bicycle.,a colorfully dressed child rides a bike,0,2
4556,Two kids in blue wetsuits surf.,Two children surf in the ocean.,0,1
4567,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see something,1,0
4580,A group of people is sitting at a large table and using paint brushes to form characters on white paper.,The people are using their fingers to paint with.,2,0
4587,A boy works on a project in shop class.,The boy's project is for a school activity.,0,1
4588,A boy works on a project in shop class.,The boy peeks through a doorway at people working on their shop class project.,2,1
4592,"A bald, black man wearing safety glasses and a long-sleeved black shirt is using a pick and hammer to sculpt a sizable rock into art.",A black man with no hair is wearing his safety glasses around his neck.,1,0
4605,A man in a blue plaid shirt with black pants is sitting on a box and holding something in his hand.,a man waits tables insdie,2,1
4624,The young man is sitting on a couch smoking a cigarette.,A young man drinking a beer,1,2
4625,The young man is sitting on a couch smoking a cigarette.,A young man smoking a cigar,1,2
4631,"Coach talks with football player, other players and crowd in background.",A football coach is instructing a player on the sidelines,1,2
4634,A man with a beer in his hand listens to a woman talk.,He is drinking to fall asleep.,1,2
4635,A man with a beer in his hand listens to a woman talk.,A woman has a beer.,2,0
4637,a young woman siting on a park bench in the sun.,The young woman is enjoying the sun,1,0
4658,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,2,0
4663,Two girls feeding a horse an apple.,Two girls are getting ready to ride horses.,1,2
4679,"A small, pale bird bends down to examine a crumb.",The bird is on the ground.,0,2
4680,"A small, pale bird bends down to examine a crumb.",The bird is having trouble flying.,1,2
4684,"A person walks outside carrying a bag, while a young girl in pink walks behind her.","A woman carrying a bag, with a girl behind her",1,0
4689,A man in a suit speaking to a seated woman.,A dark headed man in a suit speaking to a seated woman.,0,1
4706,Two people connected to ropes wearing bright orange helmets are sitting on a rocky crag high in the mountains.,People rock climb with rope.,0,1
4726,Man walking down a brick sidewalk in a business suit reading a paper and smoking a cigar with a woman wearing sunglasses walking behind him to his left.,The woman is a secret agent on mission to murder the man.,1,2
4743,a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,0,1
4751,A girl playing soccer in a green field with some trees in the background.,The soccer ball is chasing the girl.,2,1
4763,A man tests model airplanes in an open field.,A man is standing and testing model airplanes.,1,0
4767,Three guys in red uniforms celebrating a goal in a soccer game.,Three men in red uniforms celebrating a goal at a soccer game outside.,1,0
4773,A little boy punching out flashcards from the cardboard they came in.,A boy punches his new flashcards from the carboard they came i.,0,1
4779,Two men are interacting with some sort of mechanical contraption that is mounted on a wall.,Some men work on a machine on a wall.,0,1
4782,People shopping at an outside market,People are enjoying the sunny day at the market.,0,1
4785,The Man is outside on the beach walking his dog.,The man is at the beach fishing.,2,1
4798,Family gathered together in a house enjoying each other company.,A family is enjoying a night at home.,0,1
4799,Family gathered together in a house enjoying each other company.,A family is sitting together inside a house.,1,0
4803,The blond boy is riding roller-coaster with his mouth wide open.,a little boy is riding a roller-coaster,1,0
4815,A female swimmer wearing a swimming cap does the butterfly stroke.,A woman is practicing her swimming technique.,1,0
4819,"A woman in a long, dark coat looks through trashcans in Winter.",A woman is standing by a fire pit.,2,1
4820,"A woman in a long, dark coat looks through trashcans in Winter.",A woman older than thirty is outside in winter.,1,0
4836,A bald man with a white shirt and watch eating food and drinking wine.,The man is watching t.v.,1,2
4879,A young barefoot girl wearing a helmet walks down a mossy covered fallen down tree.,A young bicycle rider walks on top of a downed tree for fun.,1,2
4887,The boy in pajama pants jumps off the sofa.,The boy is bouncing on the sofa,1,0
4889,Two kids running past a dinosaur in the woods.,Children are being chased by a velociraptor.,1,2
4906,Man jumping over a rusty fence on a blue bicycle.,Man doing a trick riding his bicycle.,0,1
4916,A group of people are ice skating in a big city.,The people are falling down a lot.,1,2
4922,A woman plays guitar for tips.,music can be learn by litsen,2,1
4924,A woman plays guitar for tips.,lessons are there to learn,1,2
4952,"A barefoot man in an orange shirt, shorts, and a baseball cap is sitting on the open tailgate of a silver pickup truck.",A man's car broke down.,1,2
4953,"A barefoot man in an orange shirt, shorts, and a baseball cap is sitting on the open tailgate of a silver pickup truck.",A man is sitting on a car.,0,2
4965,Here is a picture of a man waiting for the bus to pick him up and he is hiding his face.,The man doesn't want to be seen.,1,0
4966,Here is a picture of a man waiting for the bus to pick him up and he is hiding his face.,The man is going somewhere.,1,0
4969,"A man dressed in a light blue shirt dumping items from a bin into another bin, while standing in a room full of food donations.",It is food collection room as a donation.,0,1
4973,A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A man in rubber boots and a work apron is rubbing his face in between pulling floating objects.,0,1
4982,A man wearing a striped shirt has a camera slung over his shoulder.,The photographer is well dressed and carries a camera.,1,0
4983,A man wearing a striped shirt has a camera slung over his shoulder.,The man with the stripped shirt is carrying a camera on his body.,0,2
4988,A bird is perched on a line of some sort attached to a pole.,A bird is wallowing on a pole.,1,0
4989,A bird is perched on a line of some sort attached to a pole.,A bird is sleeping on a pole line.,2,1
5000,A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People sit on a beach to tan.,1,2
5002,A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People sit on a beach.,1,2
5015,Three people posing for a camera,There are people making different poses.,1,0
5017,Three people posing for a camera,Three woman are shopping at the mall.,1,2
5041,A young african boy skipping rocks.,There is a rock currently skipping down a pond.,1,2
5063,A woman in a white and red basketball uniform with the number fifteen on her chest prepares to shoot a free throw.,A woman prepares to shoot a free throw at the Staples Center.,1,2
5085,Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,0,1
5094,A helmeted male airborne on a bike on a dirt road.,The man fell off his bike.,2,1
5101,Two women stand in the street both wearing matching outfits with police like jackets that say Polotie.,Two women are dancing in the street wearing dresses.,1,2
5159,A rescue worker searches with a flashlight under a slab in a ruined building.,A survivor searches for a meal.,2,1
5163,A fireman searching for something using a flashlight.,A fireman is in the dark.,0,1
5164,A fireman with a neon helmet and a pickaxe inspects some debris with a flashlight.,A fireman with an axe stands in a burning house.,1,2
5170,There is a man poking a long stick up towards the ceiling.,The man has no arms.,1,2
5172,There is a man poking a long stick up towards the ceiling.,The man is killing a spider.,1,2
5189,A young man standing on one foot in colorful bowling shoes after throwing the ball.,A child is standing on one foot.,1,2
5196,Several cartoon characters are behind a young girl sitting in a highchair with a bucket and SpongeBob in front of her.,There's a gathering of cartoon characters.,1,0
5205,An older gentleman looks at the camera while he is building a deck.,An older gentleman in overalls looks at the camera while he is building a stained red deck in front of a house.,0,1
5208,The young man in the plaid shirt is sitting on a chair that is out in the yard.,A guy is relaxing outside.,1,0
5214,"two shirtless men jumping over a street rail, probably practicing new dance moves.",Two naked men are practicing dance moves on the street.,1,2
5220,The small child is wearing winter clothes and a hat.,The small child is dressed in a parka.,1,2
5233,A group of people sitting around a small round table eating.,The people are enjoying a meal.,1,0
5239,A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Two old friends catching up with each other.,0,1
5242,A man in a blue shirt was arguing with a man in a green jacket and started to raise his fist in anger.,a man argues with another who is making threatening jeastures,0,1
5257,Small girl in a pink dress is playing electronic drum pads with sticks.,the girl is wearing pink color frok,0,1
5265,The man is throwing a toy to a brown and black dog in the park.,A man and a dog are at a dog park.,0,1
5266,"The young Asian woman is using an umbrella, and is in front of a brightly colored patch of flowers in the back.",A woman is using a large umbrella.,0,1
5280,"Two children are sitting on a white blanket, while the other child is sitting in the dirt.",both of the children are sitting in dirt,2,0
5285,3 people on plain boats smiling towards the camera.,3 boating people being video taped.,0,1
5296,A guy is attempting to perform a skateboard trick while jumping over part of a white building in an attempt to land on the concrete outside.,The skateboard has 8 wheels.,2,1
5299,This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,Young snowboarder sizing up their next jump,0,1
5300,This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,Ski season has now begun,1,2
5317,A man holding a yellow surfboard facing the ocean.,A man is holding a surfboard on the black sand beach.,1,2
5334,A young man wearing a green shirt and a hat attempts a trick on a skateboard while riding it in a skate park next to a beach.,A teen is practicing his skateboard skills.,1,0
5346,The baseball players near the pitching mound are celebrating as the batsman walks away.,The batsman is on a different team than the others around the pitching mound.,0,1
5366,A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl in a pink shirt is ready to run in the woods.,1,2
5372,A man and a child painting a post.,The father and son are repairing the sign.,1,2
5374,A man and a child painting a post.,The boy and his father making the post look better.,0,1
5380,A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.,the lady is shpping,1,2
5389,a dog about to jump to catch a Frisbee,The dog is outside.,1,0
5395,A couple walking their dog.,A couple and their dog are in their living room.,2,1
5407,man doing carpentry or construction on top of an unfinished building.,The man didn't know if he was a construction worker or carpenter.,1,2
5426,Two men are wearing caps are looking at the ground with surprised expressions on their faces.,Two men are mud wrestling.,1,2
5428,Two men are wearing caps are looking at the ground with surprised expressions on their faces.,Two men are shocked by what they see.,0,1
5453,Man taking photos of seagulls over the ocean.,He is at the beach.,1,0
5464,A man in a plaid shirt and brown pants is sitting on the sidewalk in front of some blankets while people walk by.,A man is outside.,1,0
5472,A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman walks through a store talking on her phone.,1,0
5473,A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,2,1
5479,A young girl is playing a musical instrument and singing into a microphone.,A talented child sings into a mic and plays an instrument.,0,1
5524,Several men helping each other pull in a fishing net.,There is a group of men.,1,0
5539,A toddler sits on a stone wall surrounded by fallen leaves.,A little child sits quietly on a hand built rock wall in autumn,0,1
5571,One female and two male musicians holding musical equipment.,They are musicans,0,1
5577,A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,1,2
5594,A performer plays an instrument for the audience.,The performer is making music.,1,0
5620,A football layer wearing a red shirt.,A built man wearing a tshirt.,1,0
5629,"The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.",Many visitors have fun at the Latin celebration.,1,0
5642,A man with long hair talking into a microphone as if on a stage.,A long haired man is practicing to talk into a microphone as though he is on stage.,0,1
5647,A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.,The other person laughed.,2,1
5656,A man is holding a child on his shoulders.,The child is too big to ride on the mans shoulders now.,2,1
5657,A man is holding a child on his shoulders.,A child is going for a ride on that man.,0,1
5658,A man is holding a child on his shoulders.,A child is riding on a mans shuolders.,0,2
5663,Young child standing on a snow pile in a city.,the man is white,2,1
5688,A man with a cigarette sits on the stoop.,A man rolls a cigarette and lights it.,1,2
5697,A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,1,2
5703,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.",A little boy looks disgusted that is ball is dirty,2,1
5704,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.",A little boy wants a dirty rugby ball,0,1
5707,A white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box.,A soccer player gets the interception.,0,1
5708,A man is tossing a knife in the air while another man stands nearby.,A man is being arrested for assault with a knife.,2,1
5724,Two men are assisting a small girl in a harness.,The men tying the girl up.,2,1
5732,A shirtless man with red paint on his torso holding a stick.,A rabid sports fan cheers for his team.,1,2
5735,A boy in a yellow shirt running by some birds.,The boy is moving very fast.,1,0
5741,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,A lady is walking down a forest,1,2
5742,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,A woman is running with a stroller down a lot,1,2
5748,Two girls pose along a tree-lined path and blow kisses towards the camera.,Two girls are doing the same pose.,1,0
5769,Two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them.,Water is nearby.,0,1
5779,"There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.",Two men are wearing jeans for a jean advertisement.,0,1
5793,A man is doing a task by a body of water on a farm.,The man is practicing how to surf.,1,2
5805,A girl is blowing a huge bubble.,A girl is playing.,1,0
5806,A girl is blowing a huge bubble.,A girl is blowing many tiny bubbles.,2,1
5809,A small child is giving heavy metal signs,A child signing I love you.,2,1
5849,A shirtless man with his fishing boat.,The man doesn't like his fishing boat.,2,1
5869,A woman sitting in an office.,A women in a conference room,2,1
5878,A child with wet hair is holding a butterfly decorated beach ball.,The child went swimming.,1,2
5890,"A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach.",The beach is out of water.,2,1
5891,"A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach.",A giant wave splashes the beach.,1,2
5923,Navy men stand along a red carpet and salute as their superior walks by.,Some men are saluting their superior out of respect.,1,0
5924,Navy men stand along a red carpet and salute as their superior walks by.,Some men are waving hello and speaking to their superior.,2,1
5930,A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is at an airport.,0,1
5933,Three people on skis are standing behind a no skiing sign.,Three friends standing on top of a ski mountain.,1,2
5934,A school aged child wearing makeup and doing a hand sign sits on the ground among similar aged children who are all making the same sign.,the children are doing sign language.,1,0
5959,a blond woman kissing the cheek of a brown-haired man.,This woman does not know the man she is pictured with.,2,1
5961,a blond woman kissing the cheek of a brown-haired man.,The couple is displaying affection.,1,0
5976,A brown dog plays in a deep pile of snow.,A brown dog is outside and it's snowing,1,0
5990,Team member 39 waiting for the puck to come his way.,A person has a number on his shirt.,1,0
5991,Team member 39 waiting for the puck to come his way.,An ice hockey player waits to make his move.,1,0
6003,A woman poses for a picture with a child.,A child poses for the camera with their mother.,0,1
6021,"Older men and women dancing in front of a stage, a man in a white hat twirling a woman in a red flower print skirt and white shirt.",People put on a show.,1,0
6041,"A man lying on the grass on a rugby field, holding a rugby ball.",A man lying on a field holding a wrecking ball.,2,1
6052,"Multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background.",Three of the men are talking on their phones.,1,0
6067,Several people talk and drink beer while sitting around a picnic table.,Several enemies talk and drink beer around a table discussing peace treaties.,1,2
6090,A brown and white dog is chained up near a red chair.,The dog is sitting.,1,2
6095,The African American man protests against unlawful sex.,The man protests in something he doesn't believe in.,1,0
6107,A group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle.,A group of boys are preparing to work out.,0,1
6112,A woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket.,The woman is wearing jeans.,1,2
6122,The man in the sailor suit is holding literature.,A man is sitting in his sailor suit.,1,0
6130,A man balances a unicycle using his face and both hands.,A man is using his hands.,1,0
6132,"An oriental woman in glasses, shooting archery.",The woman is American.,1,2
6158,"A man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named Sara's Old Fashioned Ice Cream, holding his bike up, with a wood like table, chairs, benches in front of him.",A man is riding his bike,1,2
6176,A skateboarder sails over white steps.,The skater jumped high over the steps.,0,1
6183,A man looks back while laughing and walking.,A man is looks behind his shoulder to laugh.,0,1
6184,A happy woman quite stands in front of a business that displays a closed sign and looks very animated.,A woman stands by a business.,1,0
6196,A large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches.,People throw things at the display,1,2
6220,A child making a sand castle on the beach.,A child uses their imagination.,1,0
6229,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,2
6230,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",Two girls are in a race.,0,1
6235,A man with a large mustache watches the barber conduct his work through the mirror that faces him.,A man is getting his face shaved for his party.,1,2
6238,"Woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder.",They walk along carrying a bounty of food,0,1
6266,A man dressed all in black puts his hands on an art sculpture.,There is a sculture,0,2
6268,This child is getting a pedicure.,Child getting a manicure.,2,0
6276,Instructor on Basket weaving at fair,A basket weaver teaching a class at the fair.,1,0
6284,A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking abuot love,1,2
6286,A small girl is swinging.,a young lady plays outside,1,0
6299,A robed dancer holding fire stick entertains a crowd.,A man in pants and a t-shirt doing fire tricks.,2,1
6322,A long jumper takes flight in an attempt to jump the longest distance possible in a track competition.,A long jumper is jumping a hurdle.,0,1
6340,Young girl in an bathing suit falling off the end of a slide into a pool.,"A child at a birthday party, plays with other children, laughing and screaming.",1,2
6344,"A female swimmer wearing a pink costume comes out of the water in a pool, making a splash.",There is a woman swimming.,1,0
6393,Some folks pick out the food they want at a party.,The party-goers are perusing the buffet.,0,1
6401,A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman is hanging out with her kids,2,1
6414,People checking out a car with all its doors open in a parking lot in the city.,People are admiring the car,1,0
6423,Two NHL hockey players prepare to fight over a puck during a face off.,The players vigarously compete in their game.,0,1
6424,Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,0,1
6428,Man recording a video of a woman.,A man is taking a woman on a date.,1,2
6434,Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,0,1
6443,Three young people are sitting in a room and talking to one another.,There are people watching TV,1,2
6445,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,the gymnast is a woman,0,1
6466,A man in a construction vest is looking at a vehicle.,A man in a sweater vest is looking at a limo.,2,1
6467,A man in a construction vest is looking at a vehicle.,A construction worker is looking outside.,1,0
6493,Three women are dancing among the bamboo.,A group of women on the dance floor decorated with bamboo.,1,0
6499,A sculptor wearing yellow headphones is cutting stone.,The man is an artist.,1,0
6532,Six people appearing to be planting something in the ground.,People are digging up the earth,0,2
6535,A man with a latex glove and black t-shit is standing in front of a Chevy van.,a man in his van because he caught his victim,2,1
6552,A man playing a large stringed instrument on the street.,There is a man entertaining outdoors.,1,0
6562,Two girls stand in front of two men selling what appears to be concert merchandise while a woman holding a microphone interviews the men behind the merchandise counter.,people are standing in line at a concert,0,1
6566,A young girl is laughing and chasing pigeons on the street where other people are walking nearby.,A young girl chases some birds.,2,0
